"
  School Planner - Timetable","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu3_8-f6DbMCEdG916HO3BpWIDfdkZIY4KbR0NA3=s32-rw-mo","RLFT","October 4, 2022","The app is awesome! Its simple and useful. But, I have a slight problem hoping you can add a deadline/due date for homeworks or for all of the options, the problem is that I don't want to be reminded on the exact same date as the deadline, but inorder to set a reminder you need to put a date, but I also want to know the actual deadline. Hope you add this 😅 it would be great if you did. My Request: -add a separate option for the date of the deadline and the reminder date.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-zHdJqQbrc-EjRAH7v9BTKn9TJ-qi8yV583YflzmI=s32-rw","Misha Amann","October 10, 2021","Downloaded this app today, it is really beautiful and I love the design on it! Has everything I need, but I still need to get used to the interactions. I do think it could improve on is being able to scroll to view all of the notes inputted into an assignment instead on having to go into edit mode to manually move the text placeholder to view everything.","8 people found this review helpful","","Swazer","October 11, 2021","Hello, thank you for this feedback. I had a look at the assignment screen and indeed there is no scroll when the assignment description gets long. I sent this issue to our development team and it'll be fixed very soon (probably in the next update)"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Ajew1hVKc6jmdbUjVHkKaZ3w5dIP8C6h0fafYeg=s32-rw","Cagbabanua Genierose A.","September 29, 2021","Just started using this yesterday since I am finding an app that could really help me organize throughout this new academic year. It's so simple yet pleasing. May I also suggest to have a portion where we can add our own custom colors. Lastly the ""score board"" or section where we can input our scores from that task, assignment, or exam. Also thank you that it is not forcing us to get the premium subscription....but someday I might get that. Can't wait for the widget! Thank you so much!","14 people found this review helpful","Show review history","Swazer","September 30, 2021","Thank you for your kind words, We'll definitely consider your suggestions, please recommend the app to your friends and don't hesitate to ask any questions on info@swazerlab.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu_WBrgMcek8mQqZTYe3PydCiICSY1dH-bh8V09wiw=s32-rw","Gertrude Anne Mendones","September 6, 2022","I totally love this app,I recommend it.....I just want to request that maybe change the font style of galaxy cause I really love theme but the font is hard to read,I also want to request for more widgets, thank you","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9fTzZ3rlkeNJHr-7SeVoK4xudmO6w59vcU33Vlnw=s32-rw","Rachael Willcutt","October 5, 2022","this app is really helpful to keep track of what I need to do with work for college.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu960QbQKNS1fZsQ-fpddB1p9sSTRHqcwcwl0PnKLQ=s32-rw","Lamar's birthday","October 7, 2022","Best studying app I have ever used it's beautiful morden and simple not too cluttered its great","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9QFy-YprNmDznakaQNx_CY94jzDOKxN7b56YvyM_A=s32-rw","Anna Belkina","October 11, 2021","the app is beautiful and very very helpful, but I have one little suggestion.. it would be cool if there was an option to repeat classes every two weeks, because I have two different schedules that alternate every week, so if the app had that option that would be great ! thanks for the app anyway !","4 people found this review helpful","","Swazer","November 8, 2021","Dear User, really appreciate your suggestion. We will consider it and improve our app in the new version. If you have questions or suggestions please contact us at info@swazerlab.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu_oXeksxRPBLXSgw_IsP9YNQCwJ2Hd7cghVbYUE=s32-rw","Harshini Balaji","August 2, 2022","It's a best app ever used. It saves my time creating a timetable . It makes my schedule clear and crisp.","3 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2tyIUklBxs3Yi7qIcP2545HE12nwFeC5uBTCHt=s32-rw-mo","Ahmed Alghonaim","September 13, 2022","Amazingly organized. recommended for students","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_MRb_C9lBWXDLoVlHj7HdY663k2iScec7JXIr4FQ=s32-rw","Jenna Antenna","November 11, 2021","This is a great app! But there are a few changes I would like to see. Could we link teachers and classes? Could we have reoccurring tasks? Can the complete assignment option be more clear along with assignments that have been completed? These are the only things that I think could use some improvement :)","8 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-qfKPXPw9wxZYb0cMZGfesKCMHk10qIe4qo4VmxQ=s32-rw","Keen Meme","March 10, 2022","For improvement: •add subtask or simple checklist under assignment and then it will work like a drop down menu or something For the user to use it without viewing the whole thing. • add time reminder (multiple time reminders would be great) in schedule, assignments, task, and exams. adding grading system will be difficult to implement but I believe you guys can do it in the future.. thank you for making this app. Have a nice day:>","11 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu84def2o5O78NU2vmQucYYBP8LgDbaQWly8gK3o=s32-rw","ᴍHifa","July 14, 2021","I love this app, pretty easy to use, different themes everything is perfect... but the only problem I have is the assignment keeps reminding me in every 10 or 15 minutes I want to keep timing for that too so that it doesn't really disturb me I guess then it would be perfect for me and I would like to 5 stars:) Overall definitely recommend this great app","5 people found this review helpful","","Swazer","August 4, 2021","Dear User, really appreciate your suggestion. We will consider it and improve our app in the new version. If you have any other questions or suggestions please contact us at info@swazerlab.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu-VxOM08Au_EqI7ZFcclClWNfcdq8ZdUrXapRrM=s32-rw","Aliya Entertainment","March 28, 2022","this is life changing indeed for me who gone through a lot apps that is overwhelming but not that helpful but since i downloaded this it is very simple, effecient and useful to me. I hope you can add reminders section if there is an important thing the teacher told us that we need to remember i think that would be useful ❤️","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8hhIwws_XvfuVVoNDcFoziyIGdm6z2UGE05z7a=s32-rw","Jewel Kate","August 23, 2021","Pretty good app. The design is good and everything is just amazing. Although I'd like to add a description or note when making something–I'd also like to name a class instead of using the subject as the title. Thanks!","6 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8bUPqrI8uvvg9bfRxs97yxyDNY_GKuBVCGwrSReg=s32-rw","Drey Dee","September 2, 2022","please add recurring task feature. this app is very useful and effective. deserves five stars","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9t9gVQg22ldhPc3Rdkr8jmQ5uJ3YmDV1FVgDk70Q=s32-rw","Watermelon Bunny","July 13, 2021","I need an 'everyday' or 'don't repeat' option for a class. Some classes are a one time thing and I don't know how I could sort it now. Also it needs more colors for organizing more classes.","4 people found this review helpful","","Swazer","August 4, 2021","Hello, Thank you for providing feedback, These suggestions currently exist in beta versions If you really need to access them right away, please consider participating in the Beta Tester Program on Google Play."
"https://play-lh.googleusercontent.com/a-/ACNPEu99G7uBI3q1zJyF5YHZ-5VTTlAY2u0ctsPnckc=s32-rw","ׂ","October 3, 2021","Absolutely beautiful! App looks elegant and minimalistic, love it. But I do have a little suggestion with the default theme, the theme accent color does not really match with the dark theme, maybe it could need some color change? Edit: Also I'm looking for an option answering ""modules"" in class type","3 people found this review helpful","Show review history","Swazer","October 4, 2021","Thank you for your kind words. We couldn't understand your suggestion, could you please tell us what exactly do you mean? you can do it by either updating your review or sending an email to info@swazerlab.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-MJ3xK9eL84i0Y1EyceOEjlkofD49_zOqRjzR10w=s32-rw","Nico Nico","September 24, 2021","It is helpful but I really hope they can add a ""remind everyday"" option when it comes to assignments or tasks etc. Cause I get sidetracked easily that one or two reminder is not enough for me","4 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Pj8MjijYmqoPqvDui89T9SfEjJfxH2CNDYJKckg=s32-rw","Abdial D'Jouke","January 24, 2021","Useful for organizing classes, assignments and exams on the fly. Has pretty design yet very simple. Saved a lot of my time. Became one of my favorite apps.","6 people found this review helpful","","Swazer","May 30, 2021","Thanks for your review! Please recommend our app to your friends, and don’t hesitate to shoot us a note at info@swazerlab.com if you have any questions."
"https://play-lh.googleusercontent.com/a-/ACNPEu-yqaeTjwcabici2WTHn25ZowmroolKyrxSpmw-kIs=s32-rw","Izza Nazira","October 3, 2021","This app is fantastic! I can easily manage my schedules with this. It's so functional, but I wonder can you please do add a timetable widget in the near future? That'll be super helpful. Thank you. I look forward to many more advancements in the future.","2 people found this review helpful","","Swazer","October 4, 2021","Thank you for your kind words, the widget is coming very soon, please recommend the app to your friends and don't hesitate to ask any questions on info@swazerlab.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Ri0nM-wJ52uovaQ7US4_jlXeza3kNkBdqaoEQhGo=s32-rw","Dhia Syuhada","March 8, 2022","I loving this app so far. Simple & nice. Will consider to purchase premium 😉 My improvement recommendations: 1. Add due date & reminder on TASK. Like any.do app 2. Notes column for EXAM so I can add chapter covered etc. 3. I don't know how to explain this but I wish I can just chose 1 subject tab and all info (exam,class & assignment) will be there. *I don't mind if you put this for premium user. 🥰","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-OwAqkOM1U90LiHVBR5a03w6pYE7_dR4TFY7YU2g=s32-rw","CedSm","September 7, 2022","An amazing keep my schedule and homeworks organized , it's really easy to remember things that you supposed to do I just started using its just amazing it's that simple and very helpful","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-icBK9Dn3FM2dWhVQlDPbEhK1KIrPXKV89e_9N=s32-rw","awadh","October 3, 2022","I love how greedy the dev is, there are literally same apps on playstore for less than $5 for lifetime. Some devs are so generous, they provided app for free with no ads and no data collection because it's a SCHOOL app and maybe want to save school kids some money.","","","Swazer","October 3, 2022","Hello, The full functionality of the app is available for all users and we don't have any features locked for premium users only. Also the Ads in our app are carefully designed to be some of the most non-intrusive Ads you can find in any app on Play Store and our ads revenue is being completely spent on server costs. Thanks for your understanding!"
"https://play-lh.googleusercontent.com/a/ALm5wu0cU9xq-kl24z50xuDiguoeQPyXFgHP-Pc0Ts9A=s32-rw-mo","Harman Singh","January 10, 2022","Great app, very clean, you should consider a web app as well, setting a schedule and having the visual on a bigger screen really helps put more in focus.","1 person found this review helpful","","Swazer","January 18, 2022","Hi,
We've forwarded your feedback to our developers. Thank you for taking out the time to send us your suggestions!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_ma0tPXdojEzdEcZG7jddOc6QbBkM6XQns_aFVcA=s32-rw","Youssef Galal","October 17, 2022","Great app. Gave me everything I was looking for.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_uB8lvgHQg4LT8ZUP5LDPRJVeclpxa8ufmITC7RA=s32-rw","Wanpanchi","December 29, 2021","Hi, can you add an ""overview"" page that the user can see it when open the app? It would be nice if I can see all the classes, tasks, etc of one week in just one screen (instead of open each day to see). Thank you!","","","","",""
