"
  Refocus: Pomodoro Timer","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_MC2PuPkEvh-54VdRa9c66B9LqCNUAy7pkf6z8eQ=s32-rw","David C","May 20, 2021","Nice. Be good if there was a widget / widgets for running the timers. Also, it doesn't have a landscape mode currently.","7 people found this review helpful","","Mlem","May 20, 2021","Hello there - thank you for your feedback. We don't currently have plans for either feature, but I have added them to our backlog. If there are any other features you'd like then feel free to contact us at hello@pomodoroproject.io"
"https://play-lh.googleusercontent.com/a-/ACNPEu9zCaYb_CgzAAyQv0ztdSgMTNbYVYcVgmMClA60=s32-rw","Alex W","February 3, 2022","My reviews keep getting deleted... To keep it short, it's a good app, I like it. I wish it didn't send notifications after every season though, because I have to swipe them away.","9 people found this review helpful","Show review history","Mlem","February 13, 2022","Thank you for your support :)

We have since released an update that prevents notifications from being displayed after each interval."
"https://play-lh.googleusercontent.com/a-/ACNPEu-I3JhKOiJX_9YYHQj0LQqHC4yBGxAINsi8o_te=s32-rw","Yuki SS","June 23, 2021","Its a nice app, doing great so far, however, it would be nice to have an option to change the currently green theme into other colors such as pink.","11 people found this review helpful","Show review history","Mlem","July 22, 2021","Thank you for your feedback. We are working on such a feature."
"https://play-lh.googleusercontent.com/a-/ACNPEu_PbWA6qknyCR_K5beNwBPzbCsSiepfkMuehZ0=s32-rw","Amr Ahmed","May 12, 2022","i've tried a lot of pomodoro apps, and this app gave me the best experience ever, the interface is great and the settings is very helpful.. loved it.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-_AmNrxs04CTrzNyXKQesFWAKMnBkJ6CdlMIZ0=s32-rw","jessica lee","November 23, 2021","I like it! It's exactly what I want, simple pomodoro timer and look high quality, the icon is pretty too!","","Show review history","Mlem","November 23, 2021","Glad you like it! :)"
"https://play-lh.googleusercontent.com/a/ALm5wu1wXBeO3LSc2LOxV2YHM3r_VwyZt0Cq9m67g__l=s32-rw-mo","Aditya Kalpesh","July 23, 2021","The app is nice but it would become more useful just by adding a pause button and an alarm sound of timer completion not just vibration","11 people found this review helpful","","Mlem","July 23, 2021","Hi there - there should be a notification sound when the Pomodoro completes. Have you checked that the notification sounds are enabled?"
"https://play-lh.googleusercontent.com/a-/ACNPEu-xbq41R5FWw5qAx7Zw0OZXgcrq6fJoGfBLR-F3Yg=s32-rw","J NYC","October 26, 2022","No ticking sound. Defeats the whole purpose","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8VW9r_XXJiimL9v7KnwVdiTpSEEsBjLzYyu9qxBA=s32-rw","Ilia Tayefi","April 16, 2022","Simple to use, clean UI, and very useful! Couldn't find better alternatives.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9bYmfqL_aSL6K5lZ-AgKD0RpyTanB7ysfjOoLhLQ=s32-rw","Mr. PaloKID","October 25, 2022","The best app for pomodoro technique i ever use","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1srklyHYyEgvOEWcOfY2-KN3HbF54ntU7F5R7z=s32-rw-mo","Nhi Trương","July 25, 2022","Pretty simple (not versatile)","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Jk4CYKQjTKBmFU0Fodde3cs190-4fAYDQG-8Yiw=s32-rw","sigit purnomo","July 17, 2022","very good, it must be downloaded. very helpful👍","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9q4kGg16xynRdZ9W4iyoVpc9Vii7QuY9pR3ApnQA=s32-rw","Jarah","May 15, 2022","The app was great! But the problem was the app won't notify me when the timer ends.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_uXsqluCeXHdav-3FdzTe0ccbpqT45OTutH3no=s32-rw","Ani Jimi","May 30, 2021","Its clearly a grate app that i want to suggest everyone but i want one feature in this app.l want to set vibrate sounds... Otherwise its great 👍","2 people found this review helpful","Show review history","Mlem","May 30, 2021","Hello there! Thank you for your feedback - we would be happy to facilitate this feature if you could please provide us with a little more information at hello@pomodoroproject.io regarding what kind of vibration options you would like!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-cdOd0oGOjWJuVaqayVs-5-4hFKGor6Nmaxv3eYsY=s32-rw","sonia ponzo","May 25, 2021","Nice, well-designed and easy to use - definitely a must for the Pomodoro Technique lovers!","2 people found this review helpful","","","",""
